frame; timings; with call
0;737;747;
1;596;606;
2;533;543;
3;567;577;
4;219;229;
5;494;504;
6;219;229;
7;568;578;
8;219;229;
9;494;504;
10;500;510;
11;494;504;
12;219;229;
13;704;714;
14;607;617;
15;645;655;
16;568;578;
17;568;578;
18;219;229;
19;670;680;
20;607;617;
21;645;655;
22;568;578;
23;568;578;
24;219;229;
25;738;748;
26;601;611;
27;709;719;
28;704;714;
29;528;538;
30;583;593;
31;704;714;
32;635;645;
33;567;577;
34;602;612;
35;583;593;
36;583;593;
37;636;646;
38;533;543;
39;669;679;
40;534;544;
41;562;572;
42;219;229;
43;704;714;
44;669;679;
45;567;577;
46;528;538;
47;670;680;
48;637;647;
49;704;714;
50;645;655;
51;645;655;
52;725;735;
53;583;593;
54;219;229;
55;738;748;
56;567;577;
57;611;621;
58;583;593;
59;219;229;
60;219;229;
61;719;729;
62;611;621;
63;635;645;
64;615;625;
65;670;680;
66;273;283;
67;719;729;
68;679;689;
69;611;621;
70;670;680;
71;237;247;
72;273;283;
73;738;748;
74;645;655;
75;645;655;
76;725;735;
77;670;680;
78;273;283;
79;738;748;
80;679;689;
81;611;621;
82;670;680;
83;237;247;
84;273;283;
85;719;729;
86;611;621;
87;601;611;
88;615;625;
89;670;680;
90;273;283;
91;698;708;
92;679;689;
93;698;708;
94;601;611;
95;237;247;
96;273;283;
97;704;714;
98;645;655;
99;645;655;
100;812;822;
101;601;611;
102;273;283;
103;738;748;
104;766;776;
105;665;675;
106;670;680;
107;237;247;
108;273;283;
109;719;729;
110;611;621;
111;635;645;
112;615;625;
113;670;680;
114;273;283;
115;719;729;
116;766;776;
117;665;675;
118;670;680;
119;237;247;
120;273;283;
121;738;748;
122;528;538;
123;528;538;
124;757;767;
125;670;680;
126;237;247;
127;792;802;
128;679;689;
129;698;708;
130;601;611;
131;237;247;
132;273;283;
133;719;729;
134;643;653;
135;601;611;
136;615;625;
137;670;680;
138;273;283;
139;698;708;
140;645;655;
141;494;504;
142;670;680;
143;237;247;
144;273;283;
145;791;801;
146;663;673;
147;663;673;
148;743;753;
149;601;611;
150;273;283;
151;738;748;
152;766;776;
153;665;675;
154;670;680;
155;237;247;
156;273;283;
157;719;729;
158;698;708;
159;689;699;
160;615;625;
161;670;680;
162;273;283;
163;806;816;
164;697;707;
165;665;675;
166;670;680;
167;237;247;
168;273;283;
169;825;835;
170;663;673;
171;663;673;
172;779;789;
173;670;680;
174;273;283;
175;738;748;
176;766;776;
177;665;675;
178;670;680;
179;237;247;
180;273;283;
181;806;816;
182;629;639;
183;655;665;
184;615;625;
185;670;680;
186;273;283;
187;785;795;
188;733;743;
189;698;708;
190;601;611;
191;237;247;
192;273;283;
193;704;714;
194;732;742;
195;699;709;
196;812;822;
197;601;611;
198;273;283;
199;770;780;
200;766;776;
201;665;675;
202;670;680;
203;237;247;
204;273;283;
205;806;816;
206;629;639;
207;689;699;
208;615;625;
209;670;680;
210;273;283;
211;825;835;
212;697;707;
213;665;675;
214;670;680;
215;237;247;
216;273;283;
217;738;748;
218;732;742;
219;699;709;
220;725;735;
221;583;593;
222;219;229;
223;738;748;
224;679;689;
225;611;621;
226;583;593;
227;670;680;
228;273;283;
229;806;816;
230;665;675;
231;601;611;
232;615;625;
233;670;680;
234;273;283;
235;698;708;
236;679;689;
237;643;653;
238;615;625;
239;670;680;
240;273;283;
241;738;748;
242;645;655;
243;645;655;
244;725;735;
245;670;680;
246;273;283;
247;738;748;
248;654;664;
249;665;675;
250;615;625;
251;670;680;
252;273;283;
253;806;816;
254;665;675;
255;635;645;
256;615;625;
257;670;680;
258;273;283;
259;719;729;
260;766;776;
261;629;639;
262;637;647;
263;670;680;
264;273;283;
265;825;835;
266;663;673;
267;699;709;
268;812;822;
269;601;611;
270;273;283;
271;738;748;
272;679;689;
273;643;653;
274;615;625;
275;670;680;
276;273;283;
277;719;729;
278;611;621;
279;601;611;
280;615;625;
281;670;680;
282;273;283;
283;698;708;
284;679;689;
285;643;653;
286;615;625;
287;670;680;
288;273;283;
289;738;748;
290;732;742;
291;699;709;
292;757;767;
293;670;680;
294;273;283;
295;738;748;
296;766;776;
297;629;639;
298;637;647;
299;670;680;
300;273;283;
301;806;816;
302;665;675;
303;635;645;
304;615;625;
305;670;680;
306;273;283;
307;751;761;
308;711;721;
309;643;653;
310;615;625;
311;670;680;
312;273;283;
313;738;748;
314;528;538;
315;528;538;
316;812;822;
317;601;611;
318;273;283;
319;770;780;
320;679;689;
321;643;653;
322;615;625;
323;670;680;
324;273;283;
325;806;816;
326;643;653;
327;655;665;
328;615;625;
329;670;680;
330;273;283;
331;698;708;
332;645;655;
333;494;504;
334;615;625;
335;670;680;
336;273;283;
337;825;835;
338;663;673;
339;663;673;
340;779;789;
341;670;680;
342;273;283;
343;738;748;
344;711;721;
345;643;653;
346;615;625;
347;670;680;
348;273;283;
349;751;761;
350;643;653;
351;667;677;
352;615;625;
353;670;680;
354;273;283;
355;751;761;
356;766;776;
357;629;639;
358;637;647;
359;670;680;
360;273;283;
361;825;835;
362;663;673;
363;699;709;
364;812;822;
365;601;611;
366;273;283;
367;738;748;
368;711;721;
369;643;653;
370;615;625;
371;670;680;
372;273;283;
373;806;816;
374;629;639;
375;655;665;
376;615;625;
377;670;680;
378;273;283;
379;785;795;
380;733;743;
381;643;653;
382;615;625;
383;670;680;
384;273;283;
385;738;748;
386;732;742;
387;699;709;
388;757;767;
389;670;680;
390;273;283;
391;770;780;
392;766;776;
393;629;639;
394;637;647;
395;670;680;
396;273;283;
397;806;816;
398;665;675;
399;667;677;
400;615;625;
401;670;680;
402;273;283;
403;825;835;
404;733;743;
405;643;653;
406;615;625;
407;670;680;
408;273;283;
409;770;780;
410;732;742;
411;699;709;
412;670;680;
413;528;538;
414;219;229;
415;738;748;
416;679;689;
417;643;653;
418;617;627;
419;583;593;
420;219;229;
421;806;816;
422;665;675;
423;633;643;
424;649;659;
425;615;625;
426;273;283;
427;698;708;
428;679;689;
429;643;653;
430;704;714;
431;601;611;
432;273;283;
433;825;835;
434;663;673;
435;699;709;
436;670;680;
437;615;625;
438;273;283;
439;738;748;
440;654;664;
441;665;675;
442;704;714;
443;601;611;
444;273;283;
445;806;816;
446;665;675;
447;635;645;
448;649;659;
449;615;625;
450;273;283;
451;751;761;
452;766;776;
453;643;653;
454;635;645;
455;601;611;
456;273;283;
457;825;835;
458;663;673;
459;699;709;
460;757;767;
461;546;556;
462;273;283;
463;738;748;
464;679;689;
465;643;653;
466;704;714;
467;601;611;
468;273;283;
469;806;816;
470;629;639;
471;655;665;
472;649;659;
473;615;625;
474;273;283;
475;698;708;
476;679;689;
477;643;653;
478;704;714;
479;601;611;
480;273;283;
481;770;780;
482;732;742;
483;699;709;
484;702;712;
485;615;625;
486;273;283;
487;738;748;
488;766;776;
489;643;653;
490;635;645;
491;601;611;
492;273;283;
493;806;816;
494;665;675;
495;635;645;
496;649;659;
497;615;625;
498;273;283;
499;751;761;
500;711;721;
501;643;653;
502;704;714;
503;601;611;
504;273;283;
505;825;835;
506;546;556;
507;582;592;
508;757;767;
509;546;556;
510;273;283;
511;770;780;
512;679;689;
513;643;653;
514;704;714;
515;601;611;
516;273;283;
517;806;816;
518;643;653;
519;655;665;
520;649;659;
521;615;625;
522;273;283;
523;698;708;
524;645;655;
525;526;536;
526;704;714;
527;601;611;
528;273;283;
529;825;835;
530;663;673;
531;699;709;
532;702;712;
533;615;625;
534;273;283;
535;738;748;
536;711;721;
537;643;653;
538;704;714;
539;601;611;
540;273;283;
541;751;761;
542;643;653;
543;667;677;
544;649;659;
545;615;625;
546;273;283;
547;751;761;
548;766;776;
549;643;653;
550;635;645;
551;601;611;
552;273;283;
553;825;835;
554;663;673;
555;699;709;
556;757;767;
557;546;556;
558;273;283;
559;738;748;
560;711;721;
561;643;653;
562;704;714;
563;601;611;
564;273;283;
565;806;816;
566;629;639;
567;655;665;
568;649;659;
569;615;625;
570;273;283;
571;785;795;
572;733;743;
573;643;653;
574;704;714;
575;601;611;
576;273;283;
577;770;780;
578;732;742;
579;699;709;
580;702;712;
581;615;625;
582;273;283;
583;770;780;
584;766;776;
585;643;653;
586;635;645;
587;601;611;
588;273;283;
589;806;816;
590;665;675;
591;667;677;
592;649;659;
593;615;625;
594;273;283;
595;825;835;
596;733;743;
597;643;653;
598;704;714;
599;601;611;
600;273;283;
601;738;748;
602;645;655;
603;645;655;
604;725;735;
605;583;593;
606;219;229;
607;738;748;
608;679;689;
609;643;653;
610;583;593;
611;219;229;
612;219;229;
613;806;816;
614;665;675;
615;633;643;
616;615;625;
617;670;680;
618;273;283;
619;698;708;
620;679;689;
621;611;621;
622;670;680;
623;237;247;
624;273;283;
625;738;748;
626;732;742;
627;699;709;
628;725;735;
629;670;680;
630;273;283;
631;738;748;
632;654;664;
633;665;675;
634;670;680;
635;237;247;
636;273;283;
637;719;729;
